id,lang,shape,content
Selborne,en,s,"Seaborne Virgin Island Inc, operating as Seaborne Airlines, is a FAR Part 121 airline headquartered in Carolina, Puerto Rico, near the territory's capital of San Juan.  It operates a seaplane shuttle service between St.  Croix and St.  Thomas.  Originally headquartered on St.  Croix in the US Virgin Islands, the company relocated to Puerto Rico in 2014. Since April 2018, the airline has been owned by its parent company Silver Airways."
binomial nomenclature,en,s,"In taxonomy, binomial nomenclature (""two-term naming system""), also called binary nomenclature, is a formal system of naming species of living things by giving each a name composed of two parts, both of which use Latin grammatical forms, although they can be based on words from other languages.  Such a name is called a binomial name (which may be shortened to just ""binomial""), a binomen, binominal name, or a scientific name; more informally it is also historically called a Latin name."
suborder,en,s,"Order (Latin: ordo) is one of the eight major hierarchical taxonomic ranks in Linnaean taxonomy.  It is classified between family and  class.  In biological classification, the order is a taxonomic rank used in the classification of organisms and recognized by the nomenclature codes.  An immediately higher rank, superorder, is sometimes added directly above order, with suborder directly beneath order.  An order can also be defined as a group of related families."
Common box turtle,en,s,"The common box turtle (Terrapene carolina) is a species of box turtle with five existing subspecies.  It is found throughout the Eastern United States and Mexico.  The box turtle has a distinctive hinged lower shell that allows it to completely enclose itself, like a box.  Its upper jaw is hooked.  The turtle is primarily terrestrial and eats a wide variety of plants and animals.  The females lay their eggs in the summer.  Turtles in the northern part of their range hibernate over the winter."
Ammonite,en,s,"Ammonoids are extinct spiral shelled cephalopods comprising the subclass Ammonoidea.  They are more closely related to living coleoids (i. e. , octopuses, squid and cuttlefish) than they are to shelled nautiloids (such as the living Nautilus).  The earliest ammonoids appeared during the Devonian, with the last species vanishing during or soon after the Cretaceous–Paleogene extinction event."
Aldabra giant tortoise,en,s,"The Aldabra giant tortoise (Aldabrachelys gigantea) is a species of tortoise in the family Testudinidae and genus Aldabrachelys.  The species is endemic to the Seychelles, with the nominate subspecies, A.  g.  gigantea native to Aldabra atoll.  It is one of the largest tortoises in the world."
turtle,en,s,"Purple is a color similar in appearance to violet light.  In the RYB color model historically used in the arts, purple is a secondary color created by combining red and blue pigments.  In the CMYK color model used in modern printing, purple is made by combining magenta pigment with either cyan pigment, black pigment, or both.  In the RGB color model used in computer and television screens, purple is created by mixing red and blue light in order to create colors that appear similar to violet light."
William John Swainson,en,s,"William John Swainson FLS, FRS (8 October 1789 – 6 December 1855), was an English ornithologist, malacologist, conchologist, entomologist, and artist.  Life Swainson was born in Dover Place, St Mary Newington, London, the eldest son of John Timothy Swainson the Second (1756–1824), an original fellow of the Linnean Society.  He was cousin of the amateur botanist Isaac Swainson."
mating type,en,s,Mating types are the microorganism equivalent to sexes in multicellular lifeforms and are thought to be the ancestor to distinct sexes.  They also occur in multicellular organisms such as fungi.  Definition Mating types are the microorganism equivalent to sex in higher organisms and occur in isogamous species.
geology,en,s,"Geology (from Ancient Greek  γῆ (gê) 'earth' and  λoγία (-logía) 'study of, discourse') is a branch of natural science concerned with the Earth and other astronomical objects, the rocks of which they are composed, and the processes by which they change over time.  Modern geology significantly overlaps all other Earth sciences, including hydrology.  It is integrated with Earth system science and planetary science."
